Reference,Qty,Description,Part Number,Manufacturer,Mouser,Digikey
CON1, 1, "CONN RCPT MINI HDMI 19POS SMD RA", 2013978-1, TE Connectivity, 571-2013978-1, A107963CT-ND
CON2, 1, "CONN FFC VERT 20POS 0.50MM", 2-1734742-0, TE Connectivity, 571-2-1734742-0, A100237CT-ND
U1, 3, "TVS DIODE 5.5VWM 10VSSOP", TPD4S009DGSR, Texas Instruments, 595-TPD4S009DGSR, 296-24538-1-ND
